"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Office Depot Inc","3.44","EQUITY","ODP","Small Value","2015-12-31","24644300","-116500","Consumer Cyclical","138993852","5.94","0.11|1.89%","5.96-5.76","3746252","6.15-3.01","United States","18.35","72.08","5.73","27.68","3079.21","USD","-","32.52","4.68","-","-","-"
"Stericycle Inc","3.39","EQUITY","SRCL","Mid Core","2016-06-30","1796000","-50000","Industrials","137070720","78.45","-4.31|-5.21%","82.16-77.04","2662126","90.45-71.52","United States","-8.49","-11.04","-12.54","-3.1","6689.28","USD","4","1.83","40.86","-","-","-"
"New York Times Co Class A","3.37","EQUITY","NYT","Small Core","2005-05-31","7682154","-1154700","Consumer Cyclical","135974126","19.15","-","19.25-18.55","1002138","20.15-10.6","United States","14.57","51.57","15.71","20.53","3101.83","USD","-","44.89","46.71","-","-","-"
"Juniper Networks Inc","3.36","EQUITY","JNPR","Mid Value","2013-06-30","4873700","-1024000","Technology","135878756","28.14","-0.2|-0.71%","28.46-28.02","4398662","30.96-22.4","United States","-7.41","26.56","8.14","10.17","10752.2","USD","3","0.28","17.81","-","-","-"
"Mattel Inc","3.26","EQUITY","MAT","Mid Value","2014-03-31","6124000","1194800","Consumer Cyclical","131849720","19","0.02|0.11%","19.23-18.79","6239274","34.24-18.79","United States","-11.02","-37.93","-12.56","-5.62","6511.8","USD","5","-28.28","27.14","-","-","-"
"Teradata Corp","3.21","EQUITY","TDC","Small Growth","2014-06-30","4398400","75100","Technology","129708816","31.91","-0.31|-0.96%","32.45-31.75","1256796","33.32-26.27","United States","9.85","2.08","-9.84","-15.18","4125.96","USD","-","17.45","24.74","-","-","-"
"Patterson Companies Inc","3.04","EQUITY","PDCO","Small Core","2016-12-31","2612638","0","Healthcare","122663354","39.23","-0.44|-1.11%","40.18-38.75","1086763","49.26-36.46","United States","-12.73","-15.05","2.77","4.69","3779.5","USD","4","-2.53","21.55","-","-","-"
"Akamai Technologies Inc","3","EQUITY","AKAM","Mid Growth","2007-10-31","2429700","746200","Technology","121023357","47.87","-0.17|-0.35%","48.42-47.81","1393993","71.64-45.41","United States","-9.44","-3.16","-5.99","6.17","8233.64","USD","3","-28.21","26.16","-","-","-"
"Time Inc","2.88","EQUITY","TIME","Small Value","2014-06-30","8117042","505600","Consumer Cyclical","116479553","13.75","0.2|1.48%","13.8-13.55","929436","20.4-11.65","United States","-8.07","0.21","-13.58","-","1367.55","USD","-","-21.68","-","-","-","-"
"Varian Medical Systems Inc","2.84","EQUITY","VAR","Mid Core","2007-06-30","1111800","-419000","Healthcare","114726642","96.61","-0.53|-0.55%","97.62-96.43","920790","107.08-75.94","United States","5.49","13.62","8.92","14.2","8880.55","USD","3","19.99","27.29","-","-","-"
