"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Apple Inc","7.98","EQUITY","AAPL","Large Core","2005-01-31","8511620","114100","Technology","1225843512","156.39","0.82|0.53%","157.4-155.69","20559852","159.75-102.53","United States","7.16","49.39","19.42","13.56","807790","USD","3","36.06","17.71","-","-","-"
"Alphabet Inc A","6.18","EQUITY","GOOGL","Large Growth","2005-01-31","1021627","3200","Technology","949786189","945.79","5.49|0.58%","947.54-939.79","1254574","1008.61-743.59","United States","-0.94","18.63","17.55","18.67","649118.38","USD","3","19.35","34.29","-","-","-"
"Amazon.com Inc","5.3","EQUITY","AMZN","Large Growth","2007-04-30","841508","0","Consumer Cyclical","814579744","987.58","0.66|0.07%","991.67-982","2730308","1083.31-710.1","United States","5.34","29.81","46.57","33.26","474413.22","USD","4","31.7","251.29","-","-","-"
"Tesla Inc","5.08","EQUITY","TSLA","Large Growth","2010-12-31","2156901","-1615000","Consumer Cyclical","779956971","356.91","9.82|2.83%","357.27-343.3","9268909","386.99-178.19","United States","20.8","54.77","14.38","67.25","58625.94","USD","1","67.02","-","-","-","-"
"Activision Blizzard Inc","5.03","EQUITY","ATVI","Large Growth","2012-03-31","13431289","0","Technology","773239308","62.01","-1.96|-3.06%","63.3-61.22","10545280","64.06-35.12","United States","16.78","52.61","40.57","41.55","46812.66","USD","2","72.56","41.9","-","-","-"
"Ubisoft Entertainment","3.98","EQUITY","UBI","Mid Growth","2011-11-30","10792217","0","Technology","612372108","54.37","1.07|2.01%","54.47-53.11","234774","56.32-28.5","France","20.55","45.76","68.57","58.78","5882.3","EUR","1","60.86","59.1","-","-","-"
"Amgen Inc","3.45","EQUITY","AMGN","Large Value","2013-07-31","3074500","0","Healthcare","529521135","173.85","-0.33|-0.19%","174.82-172.9","1915679","184.21-133.64","United States","6.52","3.17","12.78","18.03","126853.96","USD","3","20.48","15.83","-","-","-"
"Facebook Inc A","3.26","EQUITY","FB","Large Growth","2012-04-30","3320394","225900","Technology","501313086","169.62","1.03|0.61%","170.06-168.69","10777727","175.49-113.55","United States","12.44","36.39","32.14","51.73","492609.81","USD","3","47.43","37.95","-","-","-"
"NVIDIA Corp","2.75","EQUITY","NVDA","Large Growth","2008-11-30","2919691","-176200","Technology","422070531","167.21","0.73|0.44%","170.07-166.48","14727353","170.07-57.31","United States","61.15","193.11","112.15","65.26","99489.95","USD","1","56.91","55.55","-","-","-"
"Alphabet Inc C","2.73","EQUITY","GOOG","Large Growth","2015-10-31","462169","16000","Technology","419986835","927.96","4.31|0.47%","930.31-923.03","1082267","988.25-727.54","United States","-0.4","20.26","17.53","-","649118.38","USD","3","20.23","33.65","-","-","-"
"athenahealth Inc","2.17","EQUITY","ATHN","Mid Growth","2009-09-30","2374783","0","Technology","333775751","141.45","-0.23|-0.16%","143.47-141.03","549111","158.66-90.11","United States","40.06","12.16","4.58","8.28","5648.08","USD","2","34.5","176.81","-","-","-"
"Autodesk Inc","2.17","EQUITY","ADSK","Large Growth","2017-01-31","3301600","0","Technology","332867312","108.39","0.51|0.47%","109.04-107.56","1490923","115.25-58.25","United States","16.24","86.08","26.03","25.38","23888.26","USD","2","46.45","-","-","-","-"
"Alexion Pharmaceuticals Inc","2.06","EQUITY","ALXN","Large Growth","2012-11-30","2600672","-1634517","Healthcare","316423762","136.64","-0.08|-0.06%","137.14-134.74","1510118","145.41-96.18","United States","4.99","0.89","-4.9","5.02","30496.03","USD","4","11.68","59.15","-","-","-"
"Microsoft Corp","1.83","EQUITY","MSFT","Large Core","2002-07-31","4072049","1180500","Technology","280686338","72.68","0.53|0.73%","73.04-72.24","22578952","74.42-55.61","United States","6.19","29.31","20.99","21.5","559799.06","USD","4","18.22","26.82","-","-","-"
"Tesaro Inc","1.77","EQUITY","TSRO","Mid Growth","2015-03-31","1941500","0","Healthcare","271538190","128.59","4.03|3.24%","129.95-123.62","711508","192.94-83.26","United States","-10.45","43.76","66.96","57.47","6926.47","USD","-","-4.38","-","-","-","-"
"Qualcomm Inc","1.72","EQUITY","QCOM","Large Core","2005-01-31","4778856","1380400","Technology","263888428","52.62","-0.33|-0.62%","53-52.51","8677902","71.62-51.05","United States","-3.13","-10.17","-7.23","0.27","77670.63","USD","4","-17.61","20.16","-","-","-"
"Regeneron Pharmaceuticals Inc","1.71","EQUITY","REGN","Large Growth","2016-01-31","534000","26800","Healthcare","262268760","468.76","1.65|0.35%","473.34-466.66","771168","543.55-325.35","United States","7.93","8.16","12.93","27.9","50228.68","USD","3","27.7","47.02","-","-","-"
"Criteo SA ADR","1.69","EQUITY","CRTO","-","2014-08-31","5294671","0","Technology","259703613","49.32","-0.32|-0.64%","49.67-47.5","952826","56-32.83","France","-5.48","17.12","17.89","-","3220.2","USD","3","20.06","42.15","-","-","-"
"Dollar Tree Inc","1.68","EQUITY","DLTR","Mid Core","2017-04-30","3688400","3341500","Consumer Defensive","257892928","74.11","0.58|0.79%","74.21-73.23","1922444","99.93-65.63","United States","-9.58","-22.86","9.81","7.71","17540.99","USD","4","-3.98","20.3","-","-","-"
"Groupon Inc","1.4","EQUITY","GRPN","Small Growth","2013-06-30","56131653","0","Technology","215545548","4.12","-0.14|-3.29%","4.29-4.04","9139459","5.94-2.9","United States","20.12","-24.13","-16.28","-8.97","2300.65","USD","3","24.1","-","-","-","-"
"The Kraft Heinz Co","1.33","EQUITY","KHC","Large Value","2017-02-28","2393200","1039200","Consumer Defensive","204953648","86.66","0.15|0.17%","87.58-85.98","8002342","97.77-79.69","United States","-2.72","4.12","-","-","105520.08","USD","2","0.62","30.84","-","-","-"
"PayPal Holdings Inc","1.1","EQUITY","PYPL","Large Growth","2017-05-31","3162300","0","Financial Services","169720641","58.86","0.44|0.75%","58.93-58.32","6174328","61.3-36.3","United States","20.34","57.8","-","-","70773.09","USD","3","49.13","47.47","-","-","-"
"American Airlines Group Inc","1.09","EQUITY","AAL","Large Value","2016-04-30","3337082","0","Industrials","167921966","50.8","0.25|0.49%","50.92-50.39","2993515","54.48-33.68","United States","15.92","52.17","10.81","107.33","24740.07","USD","3","9.23","12.45","-","-","-"
"Costco Wholesale Corp","0.99","EQUITY","COST","Large Core","2012-05-31","952583","428100","Consumer Defensive","152346599","156.44","-1.47|-0.93%","158.44-155.83","3117944","183.18-142.11","United States","-10.15","-0.76","13.57","13.47","68613.54","USD","3","2.67","27.16","-","-","-"
"TD Ameritrade Holding Corp","0.99","EQUITY","AMTD","Large Growth","2016-12-31","3523600","1908600","Financial Services","151479564","45.29","0.21|0.47%","45.74-45.13","2529868","47.41-30.32","United States","16.68","52.45","13.89","25.04","23919.88","USD","3","5.11","28.31","-","-","-"
"Wayfair Inc Class A","0.98","EQUITY","W","Mid Growth","2014-10-31","1965268","-440500","Consumer Cyclical","151089804","80.36","3.03|3.92%","80.52-76.85","1058250","80.52-27.6","United States","65.86","69","-","-","6961.35","USD","3","129.27","-","-","-","-"
"Salesforce.com Inc","0.92","EQUITY","CRM","Large Growth","2010-11-30","1629548","1453800","Technology","141118857","90.45","0.1|0.11%","90.87-90.25","1987461","92.13-66.43","United States","4.54","12.28","18.11","23.05","64418.49","USD","3","32.12","476.05","-","-","-"
"Mondelez International Inc Class A","0.91","EQUITY","MDLZ","Large Value","2012-06-30","3228852","2064000","Consumer Defensive","139454118","43.48","0.07|0.16%","43.76-43.31","8144250","47.23-40.5","United States","-3.06","4.09","7.69","8.63","65552.19","USD","4","-1.06","38.14","-","-","-"
"Analog Devices Inc","0.77","EQUITY","ADI","Large Growth","2016-10-31","1511900","761600","Technology","117625820","77.78","-0.16|-0.21%","78.4-77.53","2382264","90.49-59.01","United States","3.4","25.54","18.51","16.5","28546.15","USD","3","8.34","29.57","-","-","-"
"Diamondback Energy Inc","0.75","EQUITY","FANG","Mid Growth","2014-12-31","1305000","519000","Energy","115897050","95.21","5.52|6.15%","95.75-89.86","2052934","114-82.77","United States","0","7.09","5.27","-","9343.22","USD","4","-5.79","27.13","-","-","-"
"Capital One Financial Corp","0.75","EQUITY","COF","Large Value","2012-02-29","1393400","369500","Financial Services","115122708","84.41","-0.18|-0.21%","85.42-84.26","2624035","96.92-66.61","United States","3.3","29.92","3.64","9.58","40828.5","USD","4","-1.87","12.27","-","-","-"
"Nutanix Inc A","0.73","EQUITY","NTNX","-","2016-10-31","5561600","849592","Technology","112066240","21.42","0.43|2.05%","21.48-21.03","1582764","46.78-14.38","United States","38.82","-","-","-","1719.88","USD","-","-19.35","-","-","-","-"
"Zendesk Inc","0.72","EQUITY","ZEN","Small Growth","2015-03-31","4005384","0","Technology","111269568","29.19","0.99|3.51%","29.73-28.48","1280490","31.88-19.77","United States","-1.72","3.25","18.59","-","2888.69","USD","-","37.69","-","-","-","-"
"Uber Technologies 8% Pc D Pp","0.72","PREFERRED STOCK","-","-","-","2256164","0","-","110038145","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Marriott International Inc Class A","0.69","EQUITY","MAR","Large Core","2017-03-31","1052200","15500","Consumer Cyclical","105546182","105.02","1.36|1.31%","105.05-103.65","3068939","110.51-65.91","United States","8.74","47.14","17.9","23.85","39791.11","USD","3","27.78","38.47","-","-","-"
"Twilio Inc A","0.63","EQUITY","TWLO","-","2016-06-30","3343817","0","Technology","97338513","29.21","0.36|1.25%","29.39-28.73","1123871","70.96-22.8","United States","17.03","-28.04","-","-","2642.98","USD","3","1.25","-","-","-","-"
"Huntington Bancshares Inc","0.61","EQUITY","HBAN","Mid Value","2015-07-31","6922300","115700","Financial Services","93589496","13.3","0.14|1.06%","13.49-13.23","9120948","14.74-9.38","United States","2.53","45.56","13.33","18.03","14497.22","USD","3","1.82","18.73","-","-","-"
"Starbucks Corp","0.61","EQUITY","SBUX","Large Growth","2016-08-31","1595400","-276300","Consumer Cyclical","93027774","55.44","-0.24|-0.43%","56.05-55.09","9179779","64.87-50.84","United States","-8.45","1.39","14.22","21.72","80049.81","USD","4","0.76","28","-","-","-"
"LyondellBasell Industries NV","0.59","EQUITY","LYB","Large Value","2016-12-31","1068300","526000","Basic Materials","90153837","88.78","0.03|0.03%","89.39-88.67","1514203","97.64-74.02","United States","10.14","24.07","-3.28","18.31","35139.47","USD","-","5.54","9.83","-","-","-"
"Chipotle Mexican Grill Inc Class A","0.57","EQUITY","CMG","Mid Growth","2015-12-31","210500","-36400","Consumer Cyclical","87589050","344.56","-0.8|-0.23%","345.38-339.21","829757","499-336.52","United States","-27.06","-13.25","-20.39","2.97","9824.04","USD","4","-8.68","73","-","-","-"
"Liberty Formula One Group A","0.56","EQUITY","FWONA","Mid Growth","2017-04-30","2452965","0","Consumer Cyclical","85927364","33.98","0.05|0.15%","34.07-33.75","200834","35.59-20.9","United States","5.01","55.09","9.33","-","7509.3","USD","-","8.39","-","-","-","-"
"Northern Trust Corp","0.54","EQUITY","NTRS","Mid Core","2013-06-30","851500","117000","Financial Services","82774315","88.99","1.01|1.15%","89.5-88.15","1056823","99.3-66.39","United States","-1.29","35.53","11.95","16.06","20332.96","USD","3","0.79","20.23","-","-","-"
"Square Inc A","0.5","EQUITY","SQ","Mid Growth","2015-11-30","3298999","-571300","Technology","77394517","25.21","-0.01|-0.04%","25.77-25","8209666","27.97-10.85","United States","26.68","122.7","-","-","9673.04","USD","1","84.96","-","-","-","-"
