"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"AmTrust Financial Services Inc","2.54","EQUITY","AFSI","Small Value","2015-12-21","1535334","58800","Financial Services","24350397","15.87","0.01|0.06%","15.99-15.67","732879","28.48-11.8","United States","3.28","-35.4","-6.59","8.3","3100.14","USD","-","-40.8","9.12","-","0","-"
"Fidelity National Financial Inc","2.42","EQUITY","FNF","Mid Core","2016-12-19","480438","18400","Financial Services","23176329","48.33","0.09|0.19%","48.35-47.99","649647","49.37-31.64","United States","17.8","34.27","22.15","25.04","14306.1","USD","-","43.79","21.14","-","0","-"
"Cincinnati Financial Corp","2.4","EQUITY","CINF","Mid Core","2011-08-16","285740","10944","Financial Services","23007785","80.3","-0.22|-0.27%","81.14-80","549473","81.98-68.11","United States","13.87","9.58","22.96","18.61","13167.79","USD","-","7.33","23.01","-","0","-"
"Reinsurance Group of America Inc","2.35","EQUITY","RGA","Mid Value","2011-11-07","160522","6144","Financial Services","22546920","139.91","-0.05|-0.04%","140.77-139.38","182679","141.89-99.01","United States","10.57","42.42","21.26","21.32","9023.33","USD","-","12.17","11.92","-","0","-"
"CNO Financial Group Inc","2.35","EQUITY","CNO","Small Value","2012-09-24","982833","37640","Financial Services","22506876","23.28","0.38|1.66%","23.31-22.98","1039106","23.67-14.3","United States","9.26","52.42","14.21","23.85","3934.76","USD","-","22.45","10.98","-","0","-"
"Progressive Corp","2.35","EQUITY","PGR","Large Core","2011-08-16","471744","18064","Financial Services","22459732","47.71","0.1|0.21%","47.75-47.52","1817557","47.75-30.54","United States","18.18","44.41","28.73","21.93","27721.81","USD","2","36.31","20.3","-","0","-"
"Primerica Inc","2.34","EQUITY","PRI","Small Core","2013-12-20","276803","10600","Financial Services","22379523","82.2","1.35|1.67%","82.25-81.15","119125","86.45-50.96","United States","-3.24","64.34","21.48","25.33","3740.29","USD","-","19.42","17.2","-","0","-"
"The Hartford Financial Services Group Inc","2.32","EQUITY","HIG","Mid Value","2011-08-16","398207","15248","Financial Services","22235879","56.29","0.45|0.81%","56.57-56.01","1498119","56.57-39.68","United States","14.51","42.12","19.61","28.72","20506.45","USD","-","19.1","30.76","-","0","-"
"Unum Group","2.31","EQUITY","UNM","Mid Value","2017-05-04","441216","16896","Financial Services","22140219","50.8","0.62|1.24%","51.1-50.5","884520","51.1-33.25","United States","9.34","56.69","15.67","23.09","11464.68","USD","-","17.07","12.24","-","0","-"
"Assured Guaranty Ltd","2.31","EQUITY","AGO","Mid Core","2011-11-07","492276","18848","Financial Services","22108115","44.35","-0.56|-1.25%","45.02-44.3","794384","45.73-26.37","United States","18.08","64.99","27.16","32.32","5280.1","USD","-","18.18","5.03","-","0","-"
"Allstate Corp","2.3","EQUITY","ALL","Large Core","2017-05-04","234812","8992","Financial Services","22055891","94.22","0.29|0.31%","94.49-93.97","1486353","94.49-66.55","United States","10.54","39.35","18.47","21.98","34047.3","USD","2","28.12","13.96","-","0","-"
