"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"NRG Energy Inc","0.28","EQUITY","NRG","Mid Value","2010-01-31","1623742","0","Utilities","38937333","24.45","0.47|1.96%","24.7-24","4126110","25.43-9.84","United States","67.67","78.04","-6.34","6.37","7737.46","USD","2","100.16","-","-","0","-"
"Scripps Networks Interactive Inc A","0.26","EQUITY","SNI","Mid Core","2008-06-30","403267","0","Consumer Cyclical","35507659","87.29","-0.76|-0.86%","88.06-87.11","6247413","88.45-59.32","United States","24.77","32.82","2.64","9.74","11330.84","USD","3","23.15","19.53","-","0","-"
"Alexion Pharmaceuticals Inc","0.26","EQUITY","ALXN","Large Growth","2015-06-22","257154","0","Healthcare","35158095","136.64","-0.08|-0.06%","137.14-134.74","1510118","145.41-96.18","United States","4.99","0.89","-4.9","5.02","30496.03","USD","4","11.68","59.15","-","0","-"
"Vertex Pharmaceuticals Inc","0.25","EQUITY","VRTX","Large Growth","2013-09-23","220936","0","Healthcare","34030772","154.54","0.51|0.33%","155.17-153.01","807795","167.85-71.46","United States","32.78","54.11","21.25","25.65","38962.45","USD","3","109.77","150.04","-","0","-"
"Boeing Co","0.25","EQUITY","BA","Large Growth","2015-09-23","142601","0","Industrials","33974688","237.71","-0.54|-0.23%","239.73-236.38","5590485","246.49-126.31","United States","30.62","84.99","27.74","28.42","140506.44","USD","2","54.52","21","-","0","-"
"Whole Foods Market Inc","0.23","EQUITY","WFM","Mid Core","2006-01-31","758471","0","Consumer Defensive","31734427","41.81","-0.03|-0.07%","41.85-41.8","3475249","43.84-27.67","United States","14.48","39.54","4.61","-0.87","13387.96","USD","3","37.42","33.18","-","0","-"
"H&R Block Inc","0.23","EQUITY","HRB","Mid Core","2015-07-31","1034759","0","Consumer Cyclical","31601540","30.09","-0.45|-1.47%","30.71-30.06","2800929","31.7-19.85","United States","20.55","29.94","0.44","16.55","6290.5","USD","-","32.88","15.35","-","0","-"
"Freeport-McMoRan Inc","0.23","EQUITY","FCX","Mid Core","2003-06-30","2192579","0","Basic Materials","31507360","14.41","0.04|0.28%","14.65-14.35","14822640","17.06-9.24","United States","23.37","16.96","-25.67","-10.92","20848.57","USD","2","9.25","28.25","-","0","-"
"Xerox Corp","0.23","EQUITY","XRX","Mid Value","2003-06-30","976236","0","Technology","31337176","32.22","0.12|0.37%","32.3-31.93","2524646","32.99-22.89","United States","16.46","-27.36","-16.27","3.29","8189.35","USD","3","-19.9","14.92","-","0","-"
"Ameriprise Financial Inc","0.23","EQUITY","AMP","Large Value","2005-12-31","214241","0","Financial Services","31332746","147.84","1.59|1.09%","148.75-147.36","923142","148.75-86.25","United States","16.06","60.74","9.64","24.98","22167.6","USD","2","35.43","16.88","-","0","-"
"Charter Communications Inc A","0.23","EQUITY","CHTR","Large Growth","2016-09-08","81409","0","Communication Services","31285479","384.63","0.33|0.09%","386-380.56","698514","399.95-233","United States","19.23","62.3","30.33","34.19","99189.82","USD","-","33.59","-","-","0","-"
"Celgene Corp","0.23","EQUITY","CELG","Large Growth","2006-11-30","229282","0","Healthcare","31159424","136.7","0.8|0.59%","136.81-135.02","3197673","139-96.93","United States","9.83","17.57","16.05","31.59","106947.34","USD","3","18.1","42.45","-","0","-"
"Gilead Sciences Inc","0.23","EQUITY","GILD","Large Core","2004-06-30","418848","0","Healthcare","31149726","73.16","-1.21|-1.63%","73.76-72.58","14960878","82.1-63.76","United States","8.23","-5.8","-5.69","22.15","95546.96","USD","4","3.62","7.73","-","0","-"
"PVH Corp","0.23","EQUITY","PVH","Mid Value","2013-02-14","256654","0","Consumer Cyclical","31124431","122.1","0.83|0.68%","122.75-121.3","760298","122.75-84.53","United States","20.74","26.73","4.35","9.64","9505","USD","3","35.39","25.18","-","0","-"
"Align Technology Inc","0.23","EQUITY","ALGN","Mid Growth","2017-06-19","182060","0","Healthcare","31033948","169.3","-1.16|-0.68%","171-168.57","508664","173.79-83.27","United States","19.32","84.58","46.4","37.62","13569.5","USD","-","76.12","57.98","-","0","-"
"VF Corp","0.23","EQUITY","VFC","Large Value","2003-06-30","489784","0","Consumer Cyclical","30969042","63.21","-0.02|-0.03%","63.73-62.89","1409977","65.2-48.05","United States","17.79","6.5","3.27","13.22","24880.8","USD","3","20.06","23.41","-","0","-"
"Laboratory Corp of America Holdings","0.23","EQUITY","LH","Mid Core","2004-12-31","192723","0","Healthcare","30943605","158.65","-1.91|-1.19%","161.15-158.05","631861","164.22-119.51","United States","12.6","13.25","15.08","12.65","16150.57","USD","3","23.58","22.22","-","0","-"
"Nielsen Holdings PLC","0.23","EQUITY","NLSN","Mid Core","2013-07-09","719405","0","Industrials","30927221","42.37","-0.62|-1.44%","43.3-42.29","2932720","54.99-36.96","United States","7.07","-17.6","-0.77","9.99","15108.18","USD","-","2.55","30.93","-","0","-"
"Illumina Inc","0.23","EQUITY","ILMN","Large Growth","2015-11-19","155664","0","Healthcare","30893077","194.47","-3.99|-2.01%","198.55-194.38","1192122","198.57-119.37","United States","2.98","17.39","6.34","35.79","28392.62","USD","2","51.88","38.97","-","0","-"
"Netflix Inc","0.22","EQUITY","NFLX","Large Growth","2010-12-20","171478","0","Consumer Cyclical","30734002","180.27","1.04|0.58%","181-178.5","4491055","191.5-92.95","United States","14.64","92.93","43.99","87.88","77831.52","USD","1","45.61","219.84","-","0","-"
