"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"CDW Corp","0.54","EQUITY","CDW","Mid Growth","2013-09-30","2361052","-90088","Technology","147636582","63.3","-1.05|-1.63%","64.36-63.29","557498","66.33-43.46","United States","7.27","44.22","28.04","-","9943.71","USD","-","22.13","25.84","-","-","-"
"Teleflex Inc","0.52","EQUITY","TFX","Mid Growth","2004-06-30","676077","-9885","Healthcare","140461758","214.26","-2.62|-1.21%","217.97-210.8","386731","217.97-136.53","United States","5.8","19.88","26.88","28.28","9649.72","USD","-","33.38","40.97","-","-","-"
"Atmos Energy Corp","0.48","EQUITY","ATO","Mid Value","1998-06-30","1582553","-24030","Utilities","131272771","87.19","-0.22|-0.25%","87.8-86.79","368441","88.69-68.51","United States","7.69","12.59","24.47","21.27","9247.86","USD","2","18.8","23.95","-","-","-"
"IDEX Corp","0.48","EQUITY","IEX","Mid Growth","2013-06-30","1147141","-17269","Industrials","129638404","116.22","0.51|0.44%","116.49-115.58","109778","118.08-82.05","United States","12.49","30.28","16.45","25.34","8882.22","USD","-","30.25","31.16","-","-","-"
"East West Bancorp Inc","0.47","EQUITY","EWBC","Mid Core","2011-06-30","2171895","-29705","Financial Services","127229609","58.06","1.09|1.91%","58.58-57.05","498381","60.42-33.89","United States","4.69","75.65","21.57","22.74","8388.86","USD","-","15.4","17.13","-","-","-"
"UGI Corp","0.46","EQUITY","UGI","Mid Value","2013-06-30","2602326","-38481","Utilities","125978602","48.49","0.32|0.66%","48.59-48.01","775207","52-41.79","United States","0.37","6.99","16.81","20.72","8394.72","USD","-","6.29","18.37","-","-","-"
"Steel Dynamics Inc","0.45","EQUITY","STLD","Mid Value","2013-06-30","3449324","-87896","Basic Materials","123520292","35.27","0.36|1.03%","35.37-34.93","1422287","40.17-22.79","United States","-1.24","37.08","19.47","24.31","8527.84","USD","1","0","16.64","-","-","-"
"WellCare Health Plans Inc","0.44","EQUITY","WCG","Mid Growth","2013-06-30","668918","-7632","Healthcare","120110916","173.21","-9.31|-5.1%","181-171.5","646320","184.88-109.74","United States","1.98","55.71","40.36","25.73","7706.57","USD","-","26.36","28.49","-","-","-"
"Leidos Holdings Inc","0.43","EQUITY","LDOS","Mid Core","2013-09-30","2270442","-25792","Technology","117359147","56.19","-0.45|-0.79%","56.97-56.15","2902124","57.72-37.79","United States","3.9","49.99","25.87","16.3","8486.58","USD","-","11.13","26.76","-","-","-"
"Allegion PLC","0.43","EQUITY","ALLE","Mid Growth","2013-12-31","1432540","-25489","Industrials","116207645","81.32","0.56|0.69%","81.32-80.46","343885","82.9-61.47","United States","5.34","15.32","18.16","-","7724.18","USD","3","27.56","31.4","-","-","-"
"JetBlue Airways Corp","0.42","EQUITY","JBLU","Mid Value","2009-06-30","5016322","-130701","Industrials","114522631","22.43","0.3|1.36%","22.49-22.11","2900529","24.13-15.7","United States","4.13","31.71","27.35","34.64","7377.29","USD","-","0.04","11.44","-","-","-"
"Westar Energy Inc","0.42","EQUITY","WR","Mid Value","2003-06-30","2136222","-33013","Utilities","113262490","51.3","0.1|0.2%","51.36-50.96","584169","57.5-49.21","United States","-1.05","-2.71","15.86","13.85","7289.39","USD","2","-7.54","21.46","-","-","-"
"PerkinElmer Inc","0.41","EQUITY","PKI","Mid Growth","2006-12-31","1654377","-18596","Healthcare","112729249","64.29","-2.06|-3.1%","66-63.03","1510742","70.16-45.35","United States","6.4","15.88","13.28","19.66","7074.41","USD","1","23.68","33.66","-","-","-"
"CommScope Holding Co Inc","0.41","EQUITY","COMM","Mid Core","2013-12-31","2899981","-61891","Technology","110286277","32.61","-0.94|-2.79%","32.77-31.73","4742316","42.75-28.28","United States","-7.12","13.39","8.66","-","6295.08","USD","-","-12.34","27.17","-","-","-"
"RPM International Inc","0.4","EQUITY","RPM","Mid Value","2004-06-30","2008288","-31614","Basic Materials","109552110","51.21","0.06|0.12%","51.35-51.08","729947","56.48-46.25","United States","-1.57","-3.05","6.95","16.22","6843.13","USD","-","-3.2","37.65","-","-","-"
"Pinnacle Foods Inc","0.39","EQUITY","PF","Mid Growth","2013-06-30","1784292","-20093","Consumer Defensive","105986945","59.19","0.2|0.34%","59.49-58.76","620916","66.67-46.36","United States","2.38","20.35","27.18","-","7031.66","USD","2","11.81","38.44","-","-","-"
"Spirit AeroSystems Holdings Inc","0.39","EQUITY","SPR","Mid Value","2013-06-30","1813702","-43723","Industrials","105085894","71.38","-0.62|-0.86%","72.43-71.19","1836295","73.86-42.26","United States","32.49","62.17","24.71","24.24","8447.55","USD","2","22.67","19.94","-","-","-"
"The Chemours Co","0.39","EQUITY","CC","Mid Value","2015-07-31","2770155","-26826","Basic Materials","105044278","49.31","2.16|4.58%","49.67-47","2218172","50.03-8.86","United States","23.66","452.91","-","-","9112.54","USD","-","123.49","32.87","-","-","-"
"American Financial Group Inc","0.39","EQUITY","AFG","Mid Value","2013-06-30","1054180","-6839","Financial Services","104753867","104.65","0.13|0.12%","105-104.12","236159","105.58-72.14","United States","6.04","50.58","25.92","25.67","9171.2","USD","-","21.52","13.23","-","-","-"
"Leggett & Platt Inc","0.38","EQUITY","LEG","Mid Core","2013-06-30","1989283","-53197","Consumer Cyclical","104497036","48.34","0.58|1.21%","48.37-47.78","834437","54.97-44.02","United States","-8.95","-5.78","16.36","18.8","6395.74","USD","-","0.33","18.52","-","-","-"
"Apartment Investment & Management Co","0.37","EQUITY","AIV","Mid Growth","2009-03-31","2361090","-34832","Real Estate","101456037","45.63","0.1|0.22%","45.85-45.46","726661","47.91-39.66","United States","6.53","4.75","13.28","13.93","7164.95","USD","3","1.98","252.55","-","-","-"
"Great Plains Energy Inc","0.35","EQUITY","GXP","Mid Value","2003-06-30","3242210","-47098","Utilities","94931909","31.22","0.15|0.48%","31.22-30.94","2525571","31.22-25.85","United States","10.47","10.34","11.71","10.21","6732.59","USD","2","16.16","23.47","-","-","-"
"Carlisle Companies Inc","0.34","EQUITY","CSL","Mid Core","2003-06-30","971580","-14498","Consumer Cyclical","92688732","98.37","0.61|0.62%","98.55-97.53","266214","116.4-93.47","United States","-3.23","-5.45","8.02","15.93","6214.21","USD","-","-10.17","27.71","-","-","-"
"Donaldson Co Inc","0.33","EQUITY","DCI","Mid Core","2015-12-31","1986754","-29982","Industrials","90476777","47.5","0.51|1.09%","47.54-47.1","247325","48.91-35.59","United States","2.57","33.08","8.34","7.98","6226.56","USD","-","13.71","28.27","-","-","-"
"Liberty Property Trust","0.33","EQUITY","LPT","Mid Value","2013-06-30","2213877","-30973","Real Estate","90126933","42.02","-0.05|-0.12%","42.33-41.89","293090","42.8-36.22","United States","4.61","8.75","10.93","6.95","6190.27","USD","-","8.41","17.96","-","-","-"
"Service Corp International","0.33","EQUITY","SCI","Mid Core","2003-06-30","2686028","-44818","Consumer Cyclical","89847637","34.81","-0.02|-0.06%","34.94-34.68","427816","35.5-24.9","United States","9.02","32.42","19.39","23.22","6517.49","USD","-","23.49","18.92","-","-","-"
"Teradyne Inc","0.33","EQUITY","TER","Mid Core","2013-09-30","2991854","-81125","Technology","89845376","33.46","0.15|0.45%","33.53-32.9","2864394","36.86-19.73","United States","-5.76","71.43","22.64","18.28","6656.89","USD","-","32.28","-","-","-","-"
"Aqua America Inc","0.33","EQUITY","WTR","Mid Value","2013-06-30","2671036","-37564","Utilities","88945499","33.71","0.12|0.36%","33.88-33.44","482497","34.41-28.03","United States","6.84","2.24","15.05","12.37","5988.63","USD","-","13.49","25.73","-","-","-"
"ON Semiconductor Corp","0.33","EQUITY","ON","Mid Growth","2013-06-30","6327191","-40546","Technology","88833762","15.1","0.19|1.27%","15.18-14.83","7379277","16.93-9.78","United States","7.32","54.4","20.97","18.84","6353.19","USD","-","18.34","29.04","-","-","-"
"United Therapeutics Corp","0.32","EQUITY","UTHR","Mid Growth","2016-09-30","677765","-8908","Healthcare","87926453","136.81","9.85|7.76%","139.1-135.2","2166309","169.89-110.9","United States","11.85","9.03","14.98","20.42","5943.42","USD","3","-4.62","15.74","-","-","-"
"National Retail Properties Inc","0.32","EQUITY","NNN","Mid Core","2003-06-30","2243077","-5559","Real Estate","87704311","40.5","0.3|0.75%","40.61-40.05","1209611","52.28-36.45","United States","2.03","-18.87","8.59","10.52","6043.94","USD","-","-5.24","30.15","-","-","-"
"Starwood Property Trust Inc","0.32","EQUITY","STWD","Mid Value","2010-06-30","3914363","-45321","Real Estate","87642588","21.83","-","21.88-21.77","989695","23.46-21.11","United States","0.59","6.98","5.34","10.85","5682","USD","-","3.83","12.26","-","-","-"
"KAR Auction Services Inc","0.32","EQUITY","KAR","Mid Core","2013-06-30","2062704","-47265","Consumer Cyclical","86571687","41.65","0.08|0.19%","41.76-41.49","646664","47.03-38.16","United States","-1.15","5.2","15.85","24.95","5712.29","USD","-","-0.77","25.09","-","-","-"
"Orbital ATK Inc","0.31","EQUITY","OA","Mid Value","2011-12-31","868243","-26036","Industrials","85400381","106.56","0.1|0.09%","107.15-105.39","257593","107.45-67.04","United States","8.74","23.47","13.6","32.49","6150.39","USD","-","22.19","21.44","-","-","-"
